t,default,t050_2035,t050_2050,t100_2035,t100_2050,t150_2035,t150_2050,t200_2035,t200_2050
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0
2022,30,1,1,1,1,1,1,1,1
2023,31.5,4.77,2.75,8.62,4.54,12.46,6.32,16.31,8.11
2024,33.075,8.54,4.5,16.23,8.07,23.92,11.64,31.62,15.21
2025,34.72875,12.31,6.25,23.85,11.61,35.38,16.96,46.92,22.32
2026,36.4651875,16.08,8,31.46,15.14,46.85,22.29,62.23,29.43
2027,38.28844688,19.85,9.75,39.08,18.68,58.31,27.61,77.54,36.54
2028,40.20286922,23.62,11.5,46.69,22.21,69.77,32.93,92.85,43.64
2029,42.21301268,27.38,13.25,54.31,25.75,81.23,38.25,108.15,50.75
2030,44.32366331,31.15,15,61.92,29.29,92.69,43.57,123.46,57.86
2031,46.53984648,34.92,16.75,69.54,32.82,104.15,48.89,138.77,64.96
2032,48.8668388,38.69,18.5,77.15,36.36,115.62,54.21,154.08,72.07
2033,51.31018074,42.46,20.25,84.77,39.89,127.08,59.54,169.38,79.18
2034,53.87568978,46.23,22,92.38,43.43,138.54,64.86,184.69,86.29
2035,56.56947427,50,23.75,100,46.96,150,70.18,200,93.39
2036,59.39794798,50,25.5,100,50.5,150,75.5,200,100.5
2037,62.36784538,50,27.25,100,54.04,150,80.82,200,107.61
2038,65.48623765,50,29,100,57.57,150,86.14,200,114.71
2039,68.76054953,50,30.75,100,61.11,150,91.46,200,121.82
2040,72.19857701,50,32.5,100,64.64,150,96.79,200,128.93
2041,75.80850586,50,34.25,100,68.18,150,102.11,200,136.04
2042,79.59893115,50,36,100,71.71,150,107.43,200,143.14
2043,83.57887771,50,37.75,100,75.25,150,112.75,200,150.25
2044,87.7578216,50,39.5,100,78.79,150,118.07,200,157.36
2045,92.14571268,50,41.25,100,82.32,150,123.39,200,164.46
2046,96.75299831,50,43,100,85.86,150,128.71,200,171.57
2047,101.5906482,50,44.75,100,89.39,150,134.04,200,178.68
2048,106.6701806,50,46.5,100,92.93,150,139.36,200,185.79
2049,112.0036897,50,48.25,100,96.46,150,144.68,200,192.89
2050,117.6038742,50,50,100,100,150,150,200,200