ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg
p1,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Puget_Sound_Energy_Inc,p1
p2,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Bonneville_Power_Administration,p2
p3,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,Avista_Corp,p3
p4,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,WA,western,WA,USA,pacific,Northwest,PUD_No2_of_Grant_County,p4
p5,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,Bonneville_Power_Administration,p5
p6,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,PacifiCorp_West,p6
p7,WECC_NW,NorthernGrid,NorthernGrid_West,Pacific,OR,western,OR,USA,pacific,Northwest,Bonneville_Power_Administration,p7
p8,WECC_NW,NorthernGrid,NorthernGrid_South,Pacific,CA,western,CA,USA,pacific,California,PacifiCorp_West,p8
p9,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,p9
p10,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,p10
p11,WECC_CA,CAISO,CAISO,Pacific,CA,western,CA,USA,pacific,California,CAISO,p11
p12,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,NV,western,NV,USA,mountain,Mountain,Nevada_Power_Co,p12
p13,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,NV,western,NV,USA,mountain,Mountain,Nevada_Power_Co,p13
p14,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,Northwest,Avista_Corp,p14
p15,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,Northwest,Idaho_Power_Co,p15
p16,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,ID,western,ID,USA,mountain,Northwest,Idaho_Power_Co,p16
p17,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,Northwestern_Energy,p17
p18,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,Northwestern_Energy,p18
p19,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,WAPA_Upper_Great_Plains_West,p19
p20,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,MT,western,MT_western,USA,mountain,Mountain,Northwestern_Energy,p20
p21,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,WY,USA,mountain,Mountain,PacifiCorp_East,p21
p22,WECC_NW,NorthernGrid,NorthernGrid_East,Mountain,WY,western,WY,USA,mountain,Mountain,PacifiCorp_East,p22
p23,WECC_NW,WestConnect,WestConnect_North,Mountain,WY,western,WY,USA,mountain,Mountain,WAPA_Rocky_Mountain_Region,p23
p24,WECC_NW,WestConnect,WestConnect_North,Mountain,WY,western,WY,USA,mountain,Mountain,WAPA_Rocky_Mountain_Region,p24
p25,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,UT,USA,mountain,Mountain,PacifiCorp_East,p25
p26,WECC_NW,NorthernGrid,NorthernGrid_South,Mountain,UT,western,UT,USA,mountain,Mountain,PacifiCorp_East,p26
p27,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,WAPA_Desert_Southwest_Region,p27
p28,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,Arizona_Public_Service_Co,z28
p29,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,Arizona_Public_Service_Co,p29
p30,WECC_SW,WestConnect,WestConnect_South,Mountain,AZ,western,AZ,USA,mountain,Southwest,Arizona_Public_Service_Co,z28
p31,WECC_SW,WestConnect,WestConnect_South,Mountain,NM,western,NM_western,USA,mountain,Southwest,Public_Service_Co_of_New_Mexico,p31
p32,WECC_NW,WestConnect,WestConnect_North,Mountain,SD,western,SD_western,USA,northern-plains,Plains,WAPA_Rocky_Mountain_Region,p32
p33,WECC_NW,WestConnect,WestConnect_North,Mountain,CO,western,CO,USA,mountain,Mountain,Public_Service_Co_of_Colorado,p33
p34,WECC_NW,WestConnect,WestConnect_North,Mountain,CO,western,CO,USA,mountain,Mountain,Public_Service_Co_of_Colorado,p34
p35,SPP,SPP,SPP_North,West_North_Central,MT,eastern,MT_eastern,USA,mountain,Mountain,SPP,p35
p36,SPP,SPP,SPP_North,West_North_Central,ND,eastern,ND,USA,northern-plains,Plains,SPP,p36
p37,MISO,MISO,MISO_North,West_North_Central,ND,eastern,ND,USA,northern-plains,Plains,MISO,p37
p38,SPP,SPP,SPP_North,West_North_Central,SD,eastern,SD_eastern,USA,northern-plains,Plains,SPP,p38
p39,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,p39
p40,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,p40
p41,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,p41
p42,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p42
p43,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p43
p44,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p44
p45,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,p45
p46,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p46
p47,SPP,SPP,SPP_South,West_South_Central,NM,eastern,NM_eastern,USA,mountain,Southwest,SPP,p47
p48,SPP,SPP,SPP_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,SPP,p48
p49,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,p49
p50,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,p50
p51,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,p51
p52,SPP,SPP,SPP_South,West_North_Central,KS,eastern,KS,USA,northern-plains,Plains,SPP,p52
p53,SPP,SPP,SPP_South,West_North_Central,KS,eastern,KS,USA,northern-plains,Plains,SPP,p53
p54,SPP,SPP,SPP_South,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,SPP,p54
p55,SPP,SPP,SPP_South,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,SPP,p55
p56,SPP,SPP,SPP_South,West_South_Central,AR,eastern,AR,USA,delta-states,Delta,SPP,p56
p57,SPP,SPP,SPP_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,SPP,p57
p58,MISO,MISO,MISO_South,West_South_Central,LA,eastern,LA,USA,delta-states,Delta,MISO,p58
p59,WECC_SW,WestConnect,WestConnect_South,Mountain,TX,western,TX_western,USA,southern-plains,Texas,El_Paso_Electric,p59
p60,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p60
p61,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p61
p62,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p62
p63,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p63
p64,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p64
p65,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p65
p66,MISO,MISO,MISO_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,MISO,p66
p67,ERCOT,ERCOT,ERCOT,West_South_Central,TX,ercot,TX_ercot,USA,southern-plains,Texas,ERCOT,p67
p68,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p68
p69,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,p69
p70,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,p70
p71,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p71
p72,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p72
p73,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p73
p74,MISO,MISO,MISO_North,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,MISO,p74
p75,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p75
p76,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p76
p77,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p77
p78,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p78
p79,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p79
p80,PJM,PJM,PJM_West,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,PJM,p80
p81,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,MISO,p81
p82,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,MISO,p82
p83,MISO,MISO,MISO_Central,East_North_Central,IL,eastern,IL,USA,corn-belt,Midwest,MISO,p83
p84,MISO,MISO,MISO_Central,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,MISO,p84
p85,MISO,MISO,MISO_South,West_South_Central,AR,eastern,AR,USA,delta-states,Delta,MISO,p85
p86,MISO,MISO,MISO_South,West_South_Central,LA,eastern,LA,USA,delta-states,Delta,MISO,p86
p87,MISO,MISO,MISO_South,East_South_Central,MS,eastern,MS,USA,delta-states,Delta,MISO,p87
p88,SERC_C,SERTP,SERTP,East_South_Central,MS,eastern,MS,USA,delta-states,Delta,Tennessee_Valley_Authority,p88
p89,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,AL,USA,southeast,Southeast,Southern_Co_Services_Inc,p89
p90,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,AL,USA,southeast,Southeast,PowerSouth_Energy_Coop,p90
p91,SERC_SE,SERTP,SERTP,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Southern_Co_Services_Inc,p91
p92,SERC_C,SERTP,SERTP,East_South_Central,TN,eastern,TN,USA,appalachia,Southeast,Tennessee_Valley_Authority,p92
p93,SERC_C,SERTP,SERTP,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,Tennessee_Valley_Authority,p93
p94,SERC_SE,SERTP,SERTP,South_Atlantic,GA,eastern,GA,USA,southeast,Southeast,Southern_Co_Services_Inc,p94
p95,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,Southeast,Duke_Energy_Carolinas_LLC,p95
p96,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,Southeast,South_Carolina_Electric_Gas_Co,p96
p97,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,Southeast,Duke_Energy_Carolinas_LLC,p97
p98,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,Southeast,Duke_Energy_Progress_East,p98
p99,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p99
p100,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p100
p101,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Seminole_Electric_Coop_Inc,p101
p102,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Florida_Power_and_Light,p102
p103,MISO,MISO,MISO_Central,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,MISO,p103
p104,PJM,PJM,PJM_West,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,PJM,p104
p105,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,p105
p106,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,p106
p107,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,p107
p108,MISO,MISO,MISO_Central,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,MISO,p108
p109,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,PJM,p109
p110,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,PJM,p110
p111,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p111
p112,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p112
p113,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p113
p114,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,p114
p115,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,p115
p116,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,MidAtlantic,PJM,p116
p117,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,MidAtlantic,PJM,p117
p118,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p118
p119,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,z122
p120,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,p120
p121,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,p121
p122,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,z122
p123,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,p123
p124,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,p124
p125,PJM,PJM,PJM_East,South_Atlantic,DE,eastern,DE,USA,northeast,MidAtlantic,PJM,p125
p126,PJM,PJM,PJM_East,Mid_Atlantic,NJ,eastern,NJ,USA,northeast,MidAtlantic,PJM,p126
p127,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,p127
p128,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,p128
p129,NPCC_NE,ISONE,ISONE,New_England,VT,eastern,VT,USA,northeast,NewEngland,ISONE,p129
p130,NPCC_NE,ISONE,ISONE,New_England,NH,eastern,NH,USA,northeast,NewEngland,ISONE,p130
p131,NPCC_NE,ISONE,ISONE,New_England,MA,eastern,MA,USA,northeast,NewEngland,ISONE,p131
p132,NPCC_NE,ISONE,ISONE,New_England,CT,eastern,CT,USA,northeast,NewEngland,ISONE,p132
p133,NPCC_NE,ISONE,ISONE,New_England,RI,eastern,RI,USA,northeast,NewEngland,ISONE,p133
p134,NPCC_NE,ISONE,ISONE,New_England,ME,eastern,ME,USA,northeast,NewEngland,ISONE,p134
p135,nrn5,CAISO,CAISO,Pacific,MEX,western,MEX,MEX,other,MEX,MEX,p135
p136,nrn5,CAISO,CAISO,Pacific,MEX,western,MEX,MEX,other,MEX,MEX,p136
p137,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN,CAN,p137
p138,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN,CAN,p138
p139,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN,CAN,p139
p140,nrn21,CAN,CAN,Mountain,AB,western,AB,CAN,other,CAN,CAN,p140
p141,nrn21,CAN,CAN,Mountain,AB,western,AB,CAN,other,CAN,CAN,p141
p142,nrn22,CAN,CAN,West_North_Central,SK,eastern,SK,CAN,other,CAN,CAN,p142
p143,nrn23,CAN,CAN,West_North_Central,MB,eastern,MB,CAN,other,CAN,CAN,p143
p144,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,p144
p145,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,p145
p146,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,p146
p147,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,p147
p148,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,p148
p149,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,p149
p150,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,p150
p151,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,p151
p152,nrn26,CAN,CAN,New_England,NB,eastern,NB,CAN,other,CAN,CAN,p152
p153,nrn26,CAN,CAN,New_England,NS,eastern,NS,CAN,other,CAN,CAN,p153
p154,nrn24,CAN,CAN,New_England,NL,quebec,NL,CAN,other,CAN,CAN,p154
p155,nrn24,CAN,CAN,New_England,NFI,quebec,NFI,CAN,other,CAN,CAN,p155
p156,nrn26,CAN,CAN,New_England,PEI,eastern,PEI,CAN,other,CAN,CAN,p156
p157,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,p157
p158,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,p158
p159,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,p159
p160,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,p160
p161,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,p161
p162,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,p162
p163,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX,MEX,p163
p164,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX,MEX,p164
p165,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX,MEX,p165
p166,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,p166
p167,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,p167
p168,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,p168
p169,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p169
p170,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p170
p171,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p171
p172,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,p172
p173,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,p173
p174,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX,MEX,p174
p175,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p175
p176,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX,MEX,p176
p177,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p177
p178,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX,MEX,p178
p179,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX,MEX,p179
p180,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX,MEX,p180
p181,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX,MEX,p181
p182,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX,MEX,p182
p183,nrn27,MEX,MEX,MEX,COL,mexico,COL,MEX,other,MEX,MEX,p183
p184,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,GRO_MIC,MEX,other,MEX,MEX,p184
p185,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,GRO_MIC,MEX,other,MEX,MEX,p185
p186,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX,MEX,p186
p187,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p187
p188,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p188
p189,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p189
p190,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p190
p191,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,GRO_MIC,MEX,other,MEX,MEX,p191
p192,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p192
p193,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p193
p194,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,CAM_CHP_TAB,MEX,other,MEX,MEX,p194
p195,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,CAM_CHP_TAB,MEX,other,MEX,MEX,p195
p196,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,p196
p197,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,CAM_CHP_TAB,MEX,other,MEX,MEX,p197
p198,nrn27,MEX,MEX,MEX,YUC,mexico,YUC,MEX,other,MEX,MEX,p198
p199,nrn27,MEX,MEX,MEX,ROO,mexico,ROO,MEX,other,MEX,MEX,p199
p200,nrn27,MEX,MEX,MEX,ROO,mexico,ROO,MEX,other,MEX,MEX,p200
p201,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX,MEX,p201
p202,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX,MEX,p202
p203,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX,MEX,p203
p204,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX,MEX,p204
p205,nrn27,MEX,MEX,MEX,BCS,mexico,BCS,MEX,other,MEX,MEX,p205