GSw_GenMandateScen,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
80,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
90,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8375,0.875,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
95,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8375,0.875,0.9125,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
97,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8375,0.875,0.9125,0.95,0.955,0.96,0.965,0.97,0.97,0.97,0.97,0.97,0.97,0.97
99,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8375,0.875,0.9125,0.95,0.955,0.96,0.965,0.97,0.975,0.98,0.985,0.99,0.99,0.99
100,0.2,0.2375,0.275,0.3125,0.35,0.3875,0.425,0.4625,0.5,0.5375,0.575,0.6125,0.65,0.6875,0.725,0.7625,0.8,0.8375,0.875,0.9125,0.95,0.955,0.96,0.965,0.97,0.975,0.98,0.985,0.99,0.995,1
80_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
90_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
95_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
97_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.95,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
99_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.95,0.975,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
100_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.95,0.975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95_2035,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
97_2035,0.2,0.251333333,0.302666667,0.354,0.405333333,0.456666667,0.508,0.559333333,0.610666667,0.662,0.713333333,0.764666667,0.816,0.867333333,0.918666667,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
99_2035,0.2,0.252666667,0.305333333,0.358,0.410666667,0.463333333,0.516,0.568666667,0.621333333,0.674,0.726666667,0.779333333,0.832,0.884666667,0.937333333,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
100_2035,0.2,0.253333333,0.306666667,0.36,0.413333333,0.466666667,0.52,0.573333333,0.626666667,0.68,0.733333333,0.786666667,0.84,0.893333333,0.946666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80_2040,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
90_2040,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
95_2040,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
97_2040,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
99_2040,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.96,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
100_2040,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.96,0.97,0.98,0.99,1,1,1,1,1,1,1,1,1,1,1
100_2035_step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023start40_100by2035,0.2,0.2,0.2,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
