transmission_capacity_future_LCC_1000miles_demand1_wind1_subferc_20230629.csvr,rr,status,trtype,t,MW
p1,p9,Possible,LCC,0,100000
p1,p18,Possible,LCC,0,100000
p1,p25,Possible,LCC,0,100000
p5,p9,Possible,LCC,0,100000
p5,p13,Possible,LCC,0,100000
p5,p15,Possible,LCC,0,100000
p5,p18,Possible,LCC,0,100000
p5,p25,Possible,LCC,0,100000
p9,p13,Possible,LCC,0,100000
p9,p15,Possible,LCC,0,100000
p9,p25,Possible,LCC,0,100000
p9,p28,Possible,LCC,0,100000
p10,p25,Possible,LCC,0,100000
p10,p31,Possible,LCC,0,100000
p13,p18,Possible,LCC,0,100000
p13,p24,Possible,LCC,0,100000
p13,p31,Possible,LCC,0,100000
p13,p61,Possible,LCC,0,100000
p15,p24,Possible,LCC,0,100000
p15,p25,Possible,LCC,0,100000
p15,p31,Possible,LCC,0,100000
p18,p25,Possible,LCC,0,100000
p18,p33,Possible,LCC,0,100000
p18,p41,Possible,LCC,0,100000
p18,p43,Possible,LCC,0,100000
p24,p25,Possible,LCC,0,100000
p24,p28,Possible,LCC,0,100000
p24,p41,Possible,LCC,0,100000
p24,p43,Possible,LCC,0,100000
p24,p50,Possible,LCC,0,100000
p24,p63,Possible,LCC,0,100000
p24,p76,Possible,LCC,0,100000
p24,p80,Possible,LCC,0,100000
p25,p28,Possible,LCC,0,100000
p25,p31,Possible,LCC,0,100000
p25,p33,Possible,LCC,0,100000
p25,p37,Possible,LCC,0,100000
p25,p38,Possible,LCC,0,100000
p25,p41,Possible,LCC,0,100000
p25,p45,Possible,LCC,0,100000
p25,p50,Possible,LCC,0,100000
p25,p53,Possible,LCC,0,100000
p25,p54,Possible,LCC,0,100000
p25,p61,Possible,LCC,0,100000
p28,p53,Possible,LCC,0,100000
p28,p61,Possible,LCC,0,100000
p31,p33,Possible,LCC,0,100000
p31,p41,Possible,LCC,0,100000
p31,p50,Possible,LCC,0,100000
p31,p63,Possible,LCC,0,100000
p31,p87,Possible,LCC,0,100000
p33,p37,Possible,LCC,0,100000
p33,p38,Possible,LCC,0,100000
p33,p45,Possible,LCC,0,100000
p33,p53,Possible,LCC,0,100000
p33,p54,Possible,LCC,0,100000
p33,p61,Possible,LCC,0,100000
p33,p80,Possible,LCC,0,100000
p33,p81,Possible,LCC,0,100000
p33,p85,Possible,LCC,0,100000
p37,p41,Possible,LCC,0,100000
p37,p50,Possible,LCC,0,100000
p37,p80,Possible,LCC,0,100000
p37,p92,Possible,LCC,0,100000
p37,p103,Possible,LCC,0,100000
p37,p112,Possible,LCC,0,100000
p38,p50,Possible,LCC,0,100000
p38,p63,Possible,LCC,0,100000
p38,p76,Possible,LCC,0,100000
p38,p80,Possible,LCC,0,100000
p38,p87,Possible,LCC,0,100000
p38,p92,Possible,LCC,0,100000
p38,p103,Possible,LCC,0,100000
p38,p112,Possible,LCC,0,100000
p41,p53,Possible,LCC,0,100000
p41,p61,Possible,LCC,0,100000
p41,p80,Possible,LCC,0,100000
p41,p81,Possible,LCC,0,100000
p41,p85,Possible,LCC,0,100000
p41,p94,Possible,LCC,0,100000
p41,p105,Possible,LCC,0,100000
p43,p53,Possible,LCC,0,100000
p43,p54,Possible,LCC,0,100000
p43,p80,Possible,LCC,0,100000
p43,p81,Possible,LCC,0,100000
p43,p85,Possible,LCC,0,100000
p43,p105,Possible,LCC,0,100000
p45,p50,Possible,LCC,0,100000
p45,p63,Possible,LCC,0,100000
p45,p80,Possible,LCC,0,100000
p45,p87,Possible,LCC,0,100000
p45,p92,Possible,LCC,0,100000
p45,p94,Possible,LCC,0,100000
p45,p103,Possible,LCC,0,100000
p45,p112,Possible,LCC,0,100000
p50,p61,Possible,LCC,0,100000
p50,p80,Possible,LCC,0,100000
p50,p81,Possible,LCC,0,100000
p50,p85,Possible,LCC,0,100000
p50,p94,Possible,LCC,0,100000
p50,p105,Possible,LCC,0,100000
p53,p58,Possible,LCC,0,100000
p53,p63,Possible,LCC,0,100000
p53,p76,Possible,LCC,0,100000
p53,p80,Possible,LCC,0,100000
p53,p87,Possible,LCC,0,100000
p53,p92,Possible,LCC,0,100000
p53,p94,Possible,LCC,0,100000
p53,p103,Possible,LCC,0,100000
p53,p112,Possible,LCC,0,100000
p54,p58,Possible,LCC,0,100000
p54,p63,Possible,LCC,0,100000
p54,p76,Possible,LCC,0,100000
p54,p80,Possible,LCC,0,100000
p54,p87,Possible,LCC,0,100000
p54,p92,Possible,LCC,0,100000
p54,p94,Possible,LCC,0,100000
p54,p103,Possible,LCC,0,100000
p54,p112,Possible,LCC,0,100000
p58,p61,Possible,LCC,0,100000
p58,p80,Possible,LCC,0,100000
p58,p81,Possible,LCC,0,100000
p58,p94,Possible,LCC,0,100000
p58,p98,Possible,LCC,0,100000
p58,p101,Possible,LCC,0,100000
p58,p105,Possible,LCC,0,100000
p61,p87,Possible,LCC,0,100000
p63,p80,Possible,LCC,0,100000
p63,p81,Possible,LCC,0,100000
p63,p85,Possible,LCC,0,100000
p63,p94,Possible,LCC,0,100000
p63,p105,Possible,LCC,0,100000
p76,p81,Possible,LCC,0,100000
p76,p85,Possible,LCC,0,100000
p76,p94,Possible,LCC,0,100000
p76,p105,Possible,LCC,0,100000
p76,p122,Possible,LCC,0,100000
p80,p85,Possible,LCC,0,100000
p80,p87,Possible,LCC,0,100000
p80,p92,Possible,LCC,0,100000
p80,p94,Possible,LCC,0,100000
p80,p98,Possible,LCC,0,100000
p80,p99,Possible,LCC,0,100000
p80,p103,Possible,LCC,0,100000
p80,p112,Possible,LCC,0,100000
p80,p122,Possible,LCC,0,100000
p80,p127,Possible,LCC,0,100000
p80,p131,Possible,LCC,0,100000
p81,p87,Possible,LCC,0,100000
p81,p92,Possible,LCC,0,100000
p81,p94,Possible,LCC,0,100000
p81,p99,Possible,LCC,0,100000
p81,p112,Possible,LCC,0,100000
p81,p127,Possible,LCC,0,100000
p85,p92,Possible,LCC,0,100000
p85,p94,Possible,LCC,0,100000
p85,p101,Possible,LCC,0,100000
p85,p103,Possible,LCC,0,100000
p85,p112,Possible,LCC,0,100000
p87,p94,Possible,LCC,0,100000
p87,p98,Possible,LCC,0,100000
p87,p101,Possible,LCC,0,100000
p87,p105,Possible,LCC,0,100000
p92,p101,Possible,LCC,0,100000
p92,p105,Possible,LCC,0,100000
p92,p122,Possible,LCC,0,100000
p94,p99,Possible,LCC,0,100000
p94,p101,Possible,LCC,0,100000
p94,p103,Possible,LCC,0,100000
p94,p105,Possible,LCC,0,100000
p94,p112,Possible,LCC,0,100000
p94,p122,Possible,LCC,0,100000
p94,p127,Possible,LCC,0,100000
p98,p99,Possible,LCC,0,100000
p98,p101,Possible,LCC,0,100000
p98,p103,Possible,LCC,0,100000
p98,p112,Possible,LCC,0,100000
p98,p127,Possible,LCC,0,100000
p98,p131,Possible,LCC,0,100000
p99,p101,Possible,LCC,0,100000
p99,p105,Possible,LCC,0,100000
p99,p127,Possible,LCC,0,100000
p99,p134,Possible,LCC,0,100000
p103,p122,Possible,LCC,0,100000
p103,p127,Possible,LCC,0,100000
p103,p134,Possible,LCC,0,100000
p105,p112,Possible,LCC,0,100000
p105,p127,Possible,LCC,0,100000
p105,p131,Possible,LCC,0,100000
p112,p127,Possible,LCC,0,100000
p112,p134,Possible,LCC,0,100000
p122,p127,Possible,LCC,0,100000
p122,p131,Possible,LCC,0,100000
p127,p131,Possible,LCC,0,100000
p127,p134,Possible,LCC,0,100000
