r,rr,status,trtype,t,MW
p1,p2,Possible,VSC,2032,100000
p1,p4,Possible,VSC,2032,100000
p2,p3,Possible,VSC,2032,100000
p2,p4,Possible,VSC,2032,100000
p2,p5,Possible,VSC,2032,100000
p2,p14,Possible,VSC,2032,100000
p3,p4,Possible,VSC,2032,100000
p3,p5,Possible,VSC,2032,100000
p3,p14,Possible,VSC,2032,100000
p3,p17,Possible,VSC,2032,100000
p5,p6,Possible,VSC,2032,100000
p5,p7,Possible,VSC,2032,100000
p5,p14,Possible,VSC,2032,100000
p5,p15,Possible,VSC,2032,100000
p6,p7,Possible,VSC,2032,100000
p6,p8,Possible,VSC,2032,100000
p6,p9,Possible,VSC,2032,100000
p7,p8,Possible,VSC,2032,100000
p7,p12,Possible,VSC,2032,100000
p7,p15,Possible,VSC,2032,100000
p8,p9,Possible,VSC,2032,100000
p8,p12,Possible,VSC,2032,100000
p9,p10,Possible,VSC,2032,100000
p9,p12,Possible,VSC,2032,100000
p10,p11,Possible,VSC,2032,100000
p10,p12,Possible,VSC,2032,100000
p10,p13,Possible,VSC,2032,100000
p10,p27,Possible,VSC,2032,100000
p10,p28,Possible,VSC,2032,100000
p12,p13,Possible,VSC,2032,100000
p12,p15,Possible,VSC,2032,100000
p12,p25,Possible,VSC,2032,100000
p13,p25,Possible,VSC,2032,100000
p13,p27,Possible,VSC,2032,100000
p13,p28,Possible,VSC,2032,100000
p14,p15,Possible,VSC,2032,100000
p14,p17,Possible,VSC,2032,100000
p15,p16,Possible,VSC,2032,100000
p15,p17,Possible,VSC,2032,100000
p15,p21,Possible,VSC,2032,100000
p15,p25,Possible,VSC,2032,100000
p16,p17,Possible,VSC,2032,100000
p16,p18,Possible,VSC,2032,100000
p16,p21,Possible,VSC,2032,100000
p16,p25,Possible,VSC,2032,100000
p17,p18,Possible,VSC,2032,100000
p17,p20,Possible,VSC,2032,100000
p18,p19,Possible,VSC,2032,100000
p18,p20,Possible,VSC,2032,100000
p18,p21,Possible,VSC,2032,100000
p18,p22,Possible,VSC,2032,100000
p21,p24,Possible,VSC,2032,100000
p21,p25,Possible,VSC,2032,100000
p21,p26,Possible,VSC,2032,100000
p22,p23,Possible,VSC,2032,100000
p22,p24,Possible,VSC,2032,100000
p23,p24,Possible,VSC,2032,100000
p23,p32,Possible,VSC,2032,100000
p24,p32,Possible,VSC,2032,100000
p24,p33,Possible,VSC,2032,100000
p25,p26,Possible,VSC,2032,100000
p25,p28,Possible,VSC,2032,100000
p25,p31,Possible,VSC,2032,100000
p26,p33,Possible,VSC,2032,100000
p27,p28,Possible,VSC,2032,100000
p28,p29,Possible,VSC,2032,100000
p28,p30,Possible,VSC,2032,100000
p28,p31,Possible,VSC,2032,100000
p29,p30,Possible,VSC,2032,100000
p29,p31,Possible,VSC,2032,100000
p31,p34,Possible,VSC,2032,100000
p31,p59,Possible,VSC,2032,100000
p33,p34,Possible,VSC,2032,100000
p35,p36,Possible,VSC,2032,100000
p36,p37,Possible,VSC,2032,100000
p36,p38,Possible,VSC,2032,100000
p37,p38,Possible,VSC,2032,100000
p37,p42,Possible,VSC,2032,100000
p37,p43,Possible,VSC,2032,100000
p38,p39,Possible,VSC,2032,100000
p38,p40,Possible,VSC,2032,100000
p38,p43,Possible,VSC,2032,100000
p38,p44,Possible,VSC,2032,100000
p38,p45,Possible,VSC,2032,100000
p39,p40,Possible,VSC,2032,100000
p40,p41,Possible,VSC,2032,100000
p40,p45,Possible,VSC,2032,100000
p40,p52,Possible,VSC,2032,100000
p41,p45,Possible,VSC,2032,100000
p41,p53,Possible,VSC,2032,100000
p41,p54,Possible,VSC,2032,100000
p41,p70,Possible,VSC,2032,100000
p42,p43,Possible,VSC,2032,100000
p43,p44,Possible,VSC,2032,100000
p43,p46,Possible,VSC,2032,100000
p43,p68,Possible,VSC,2032,100000
p44,p45,Possible,VSC,2032,100000
p44,p68,Possible,VSC,2032,100000
p45,p54,Possible,VSC,2032,100000
p45,p68,Possible,VSC,2032,100000
p45,p69,Possible,VSC,2032,100000
p45,p70,Possible,VSC,2032,100000
p46,p68,Possible,VSC,2032,100000
p46,p74,Possible,VSC,2032,100000
p46,p75,Possible,VSC,2032,100000
p46,p76,Possible,VSC,2032,100000
p46,p77,Possible,VSC,2032,100000
p47,p48,Possible,VSC,2032,100000
p48,p49,Possible,VSC,2032,100000
p48,p50,Possible,VSC,2032,100000
p49,p50,Possible,VSC,2032,100000
p49,p52,Possible,VSC,2032,100000
p49,p53,Possible,VSC,2032,100000
p50,p51,Possible,VSC,2032,100000
p50,p53,Possible,VSC,2032,100000
p50,p56,Possible,VSC,2032,100000
p50,p57,Possible,VSC,2032,100000
p50,p85,Possible,VSC,2032,100000
p51,p53,Possible,VSC,2032,100000
p51,p55,Possible,VSC,2032,100000
p51,p56,Possible,VSC,2032,100000
p52,p53,Possible,VSC,2032,100000
p53,p54,Possible,VSC,2032,100000
p53,p55,Possible,VSC,2032,100000
p54,p55,Possible,VSC,2032,100000
p54,p70,Possible,VSC,2032,100000
p54,p71,Possible,VSC,2032,100000
p54,p72,Possible,VSC,2032,100000
p55,p56,Possible,VSC,2032,100000
p55,p72,Possible,VSC,2032,100000
p55,p84,Possible,VSC,2032,100000
p55,p85,Possible,VSC,2032,100000
p56,p85,Possible,VSC,2032,100000
p57,p58,Possible,VSC,2032,100000
p57,p66,Possible,VSC,2032,100000
p57,p85,Possible,VSC,2032,100000
p58,p66,Possible,VSC,2032,100000
p58,p85,Possible,VSC,2032,100000
p58,p86,Possible,VSC,2032,100000
p58,p87,Possible,VSC,2032,100000
p60,p61,Possible,VSC,2032,100000
p60,p62,Possible,VSC,2032,100000
p60,p63,Possible,VSC,2032,100000
p61,p62,Possible,VSC,2032,100000
p61,p63,Possible,VSC,2032,100000
p61,p64,Possible,VSC,2032,100000
p61,p65,Possible,VSC,2032,100000
p63,p64,Possible,VSC,2032,100000
p63,p67,Possible,VSC,2032,100000
p64,p65,Possible,VSC,2032,100000
p64,p67,Possible,VSC,2032,100000
p65,p67,Possible,VSC,2032,100000
p66,p86,Possible,VSC,2032,100000
p68,p69,Possible,VSC,2032,100000
p68,p77,Possible,VSC,2032,100000
p69,p70,Possible,VSC,2032,100000
p69,p77,Possible,VSC,2032,100000
p70,p71,Possible,VSC,2032,100000
p70,p77,Possible,VSC,2032,100000
p70,p80,Possible,VSC,2032,100000
p70,p81,Possible,VSC,2032,100000
p71,p72,Possible,VSC,2032,100000
p71,p81,Possible,VSC,2032,100000
p72,p73,Possible,VSC,2032,100000
p72,p81,Possible,VSC,2032,100000
p72,p84,Possible,VSC,2032,100000
p73,p84,Possible,VSC,2032,100000
p74,p75,Possible,VSC,2032,100000
p74,p103,Possible,VSC,2032,100000
p75,p76,Possible,VSC,2032,100000
p75,p79,Possible,VSC,2032,100000
p76,p77,Possible,VSC,2032,100000
p76,p78,Possible,VSC,2032,100000
p76,p79,Possible,VSC,2032,100000
p77,p78,Possible,VSC,2032,100000
p77,p80,Possible,VSC,2032,100000
p78,p79,Possible,VSC,2032,100000
p78,p80,Possible,VSC,2032,100000
p79,p80,Possible,VSC,2032,100000
p80,p81,Possible,VSC,2032,100000
p80,p82,Possible,VSC,2032,100000
p80,p83,Possible,VSC,2032,100000
p80,p105,Possible,VSC,2032,100000
p81,p82,Possible,VSC,2032,100000
p81,p83,Possible,VSC,2032,100000
p81,p93,Possible,VSC,2032,100000
p81,p107,Possible,VSC,2032,100000
p81,p108,Possible,VSC,2032,100000
p82,p83,Possible,VSC,2032,100000
p83,p105,Possible,VSC,2032,100000
p83,p107,Possible,VSC,2032,100000
p84,p85,Possible,VSC,2032,100000
p84,p92,Possible,VSC,2032,100000
p85,p86,Possible,VSC,2032,100000
p85,p87,Possible,VSC,2032,100000
p85,p92,Possible,VSC,2032,100000
p86,p87,Possible,VSC,2032,100000
p87,p88,Possible,VSC,2032,100000
p87,p89,Possible,VSC,2032,100000
p87,p90,Possible,VSC,2032,100000
p87,p92,Possible,VSC,2032,100000
p88,p89,Possible,VSC,2032,100000
p88,p92,Possible,VSC,2032,100000
p89,p90,Possible,VSC,2032,100000
p89,p92,Possible,VSC,2032,100000
p89,p94,Possible,VSC,2032,100000
p90,p91,Possible,VSC,2032,100000
p90,p94,Possible,VSC,2032,100000
p91,p94,Possible,VSC,2032,100000
p91,p101,Possible,VSC,2032,100000
p92,p93,Possible,VSC,2032,100000
p92,p94,Possible,VSC,2032,100000
p92,p97,Possible,VSC,2032,100000
p92,p108,Possible,VSC,2032,100000
p92,p109,Possible,VSC,2032,100000
p92,p118,Possible,VSC,2032,100000
p93,p108,Possible,VSC,2032,100000
p93,p109,Possible,VSC,2032,100000
p94,p95,Possible,VSC,2032,100000
p94,p96,Possible,VSC,2032,100000
p94,p97,Possible,VSC,2032,100000
p94,p101,Possible,VSC,2032,100000
p95,p96,Possible,VSC,2032,100000
p95,p97,Possible,VSC,2032,100000
p95,p98,Possible,VSC,2032,100000
p96,p98,Possible,VSC,2032,100000
p97,p98,Possible,VSC,2032,100000
p97,p118,Possible,VSC,2032,100000
p98,p99,Possible,VSC,2032,100000
p99,p100,Possible,VSC,2032,100000
p99,p116,Possible,VSC,2032,100000
p99,p118,Possible,VSC,2032,100000
p99,p121,Possible,VSC,2032,100000
p99,p123,Possible,VSC,2032,100000
p100,p116,Possible,VSC,2032,100000
p101,p102,Possible,VSC,2032,100000
p103,p104,Possible,VSC,2032,100000
p103,p105,Possible,VSC,2032,100000
p103,p111,Possible,VSC,2032,100000
p104,p105,Possible,VSC,2032,100000
p105,p106,Possible,VSC,2032,100000
p105,p107,Possible,VSC,2032,100000
p105,p112,Possible,VSC,2032,100000
p106,p107,Possible,VSC,2032,100000
p107,p108,Possible,VSC,2032,100000
p107,p109,Possible,VSC,2032,100000
p107,p112,Possible,VSC,2032,100000
p107,p114,Possible,VSC,2032,100000
p108,p109,Possible,VSC,2032,100000
p109,p110,Possible,VSC,2032,100000
p109,p112,Possible,VSC,2032,100000
p109,p114,Possible,VSC,2032,100000
p109,p118,Possible,VSC,2032,100000
p110,p112,Possible,VSC,2032,100000
p110,p117,Possible,VSC,2032,100000
p110,p118,Possible,VSC,2032,100000
p111,p112,Possible,VSC,2032,100000
p111,p115,Possible,VSC,2032,100000
p111,p116,Possible,VSC,2032,100000
p111,p122,Possible,VSC,2032,100000
p112,p113,Possible,VSC,2032,100000
p112,p114,Possible,VSC,2032,100000
p112,p115,Possible,VSC,2032,100000
p112,p116,Possible,VSC,2032,100000
p112,p117,Possible,VSC,2032,100000
p113,p114,Possible,VSC,2032,100000
p115,p116,Possible,VSC,2032,100000
p115,p122,Possible,VSC,2032,100000
p116,p117,Possible,VSC,2032,100000
p116,p118,Possible,VSC,2032,100000
p116,p120,Possible,VSC,2032,100000
p116,p121,Possible,VSC,2032,100000
p117,p118,Possible,VSC,2032,100000
p119,p122,Possible,VSC,2032,100000
p120,p121,Possible,VSC,2032,100000
p120,p122,Possible,VSC,2032,100000
p121,p122,Possible,VSC,2032,100000
p121,p123,Possible,VSC,2032,100000
p122,p123,Possible,VSC,2032,100000
p122,p125,Possible,VSC,2032,100000
p122,p126,Possible,VSC,2032,100000
p122,p127,Possible,VSC,2032,100000
p123,p124,Possible,VSC,2032,100000
p123,p125,Possible,VSC,2032,100000
p125,p126,Possible,VSC,2032,100000
p126,p127,Possible,VSC,2032,100000
p127,p128,Possible,VSC,2032,100000
p127,p129,Possible,VSC,2032,100000
p127,p131,Possible,VSC,2032,100000
p127,p132,Possible,VSC,2032,100000
p128,p132,Possible,VSC,2032,100000
p129,p130,Possible,VSC,2032,100000
p129,p131,Possible,VSC,2032,100000
p130,p131,Possible,VSC,2032,100000
p130,p134,Possible,VSC,2032,100000
p131,p132,Possible,VSC,2032,100000
p131,p133,Possible,VSC,2032,100000
p132,p133,Possible,VSC,2032,100000
p20,p35,Possible,VSC,2032,100000
p24,p39,Possible,VSC,2032,100000
p31,p47,Possible,VSC,2032,100000
p31,p48,Possible,VSC,2032,100000
p32,p38,Possible,VSC,2032,100000
p34,p52,Possible,VSC,2032,100000
p50,p60,Possible,VSC,2032,100000
p57,p63,Possible,VSC,2032,100000
